timestamp,requests_total,error_rate,p95_latency_ms,positive_rate
2026-05-30T13:55:12,10,0.0,2.28,0.4
2026-05-30T14:34:08,10,0.0,2.89,0.4
2026-05-30T16:21:22,10,0.0,3.4,0.4
2026-05-30T16:37:07,10,0.0,2.53,0.4
2026-06-15T12:55:50,15,0.0,2.05,0.4
2026-06-15T16:01:42,15,0.0,2.09,0.4
2026-06-15T17:11:18,14,0.0,0.96,0.429
2026-06-15T17:21:32,14,0.0,2.11,0.429
2026-06-20T21:12:49,15,0.0,1.24,0.4
2026-06-22T10:50:59,15,0.0,4.21,0.4
2026-06-22T12:21:20,14,0.0,2.17,0.429
2026-06-22T12:47:20,14,0.0,2.02,0.429
2026-06-22T13:08:39,14,0.0,2.24,0.429
2026-06-22T14:54:14,14,0.0,7.88,0.429
2026-06-22T15:22:35,14,0.0,1.77,0.429
2026-06-22T16:06:36,14,0.0,3.32,0.429
2026-06-22T16:29:25,14,0.0,2.5,0.429
